img_id,bbox,query
23412.jpg,"[0.0, 0.0, 360.0, 480.0]",['anywhere except the people']
23412.jpg,"[162.0, 192.0, 220.0, 430.0]",['person in front']
23412.jpg,"[203.0, 71.0, 247.0, 161.0]",['person all the way in back']
23412.jpg,"[181.0, 158.0, 248.0, 319.0]",['blue shirt']
38040.jpg,"[3.0, 0.0, 480.0, 91.0]",['sky']
19041.jpg,"[1.0, 284.0, 46.0, 343.0]",['grass to the left of wagon']
38040.jpg,"[257.0, 225.0, 480.0, 360.0]",['grass right']
38040.jpg,"[0.0, 236.0, 166.0, 330.0]",['wow grass left']
38040.jpg,"[0.0, 0.0, 480.0, 196.0]",['trees in the background']
38040.jpg,"[0.0, 298.0, 199.0, 360.0]",['sidewalk bottom']
38040.jpg,"[258.0, 243.0, 362.0, 311.0]",['sexy pavement right of sexy heart']
18353.jpg,"[0.0, 128.0, 360.0, 480.0]","['base of tree near ground', 'bottom left corner']"
26142.jpg,"[0.0, 0.0, 480.0, 85.0]",['sky']
22678.jpg,"[269.0, 109.0, 406.0, 300.0]",['lady in red and hat']
31670.jpg,"[0.0, 28.0, 441.0, 190.0]",['second blue windows from left']
5175.jpg,"[0.0, 0.0, 480.0, 360.0]",['ice']
5175.jpg,"[125.0, 91.0, 391.0, 297.0]",['center outline thing']
27385.jpg,"[0.0, 14.0, 480.0, 173.0]",['top wall just click']
39343.jpg,"[278.0, 184.0, 320.0, 284.0]","['trees to right of man (near his rear)', 'smaller tree on right', 'small tree out of frame right']"
22678.jpg,"[99.0, 151.0, 226.0, 273.0]",['woman on left']
8564.jpg,"[303.0, 262.0, 360.0, 405.0]",['the ledge on the right of the people']
37519.jpg,"[0.0, 68.0, 104.0, 163.0]",['white rocks to the left of his arm']
37519.jpg,"[265.0, 174.0, 320.0, 313.0]","[""the dirt on the right side of the biker's thigh"", 'the area beside the bike to the right, by his butt']"
37519.jpg,"[100.0, 27.0, 266.0, 324.0]",['man']
37519.jpg,"[125.0, 180.0, 264.0, 464.0]",['bike']
37519.jpg,"[0.0, 190.0, 320.0, 480.0]",['lower left']
25266.jpg,"[204.0, 35.0, 480.0, 142.0]",['mountains right']
25266.jpg,"[42.0, 150.0, 281.0, 326.0]",['any perosn']
25266.jpg,"[0.0, 313.0, 480.0, 360.0]",['pavement below feet']
25266.jpg,"[0.0, 0.0, 480.0, 102.0]",['sky']
17791.jpg,"[71.0, 50.0, 480.0, 232.0]",['the water']
9406.jpg,"[0.0, 121.0, 85.0, 241.0]",['the building or trees on the far far left']
9406.jpg,"[120.0, 117.0, 452.0, 235.0]",['building in center']
9406.jpg,"[0.0, 0.0, 480.0, 127.0]",['sky']
9406.jpg,"[403.0, 95.0, 480.0, 239.0]",['tree on right side']
9406.jpg,"[174.0, 312.0, 300.0, 360.0]","['the yellow car in front', 'yellow car']"
9406.jpg,"[38.0, 65.0, 182.0, 263.0]",['big palm tree left']
9406.jpg,"[287.0, 85.0, 396.0, 257.0]",['palm tree right center']
9406.jpg,"[203.0, 292.0, 351.0, 341.0]",['car behind yellow one']
9406.jpg,"[234.0, 267.0, 380.0, 313.0]",['beige jeep parked']
14084.jpg,"[58.0, 310.0, 480.0, 360.0]",['bottom right corner']
8522.jpg,"[429.0, 216.0, 480.0, 266.0]","[""woman's hat on right looking at camera""]"
8522.jpg,"[339.0, 8.0, 376.0, 33.0]","['mans hat top right', 'man with black jacket khaki paints, its his hat']"
8522.jpg,"[5.0, 152.0, 42.0, 186.0]",['hat on the man to the left']
8522.jpg,"[0.0, 0.0, 480.0, 231.0]",['rock top middle']
8522.jpg,"[81.0, 4.0, 155.0, 83.0]",['on the left']
8522.jpg,"[0.0, 161.0, 345.0, 360.0]",['the rocks below the left most person']
8522.jpg,"[306.0, 132.0, 439.0, 297.0]",['rocks on ground in between three people on the right']
8522.jpg,"[0.0, 27.0, 480.0, 360.0]",['people']
19671.jpg,"[170.0, 92.0, 239.0, 123.0]",['space to right of left birdie head']
19671.jpg,"[253.0, 81.0, 381.0, 288.0]",['bird on the right']
19671.jpg,"[0.0, 0.0, 480.0, 360.0]","['anywhere but the ducks', 'lower right corner']"
19671.jpg,"[103.0, 89.0, 216.0, 296.0]","['left bird', 'left bird', 'left bird', 'the bird on the left', 'left animal']"
38019.jpg,"[191.0, 61.0, 439.0, 213.0]",['sign']
35895.jpg,"[112.0, 155.0, 245.0, 404.0]",['statue']
35895.jpg,"[0.0, 0.0, 360.0, 431.0]",['the sky']
26979.jpg,"[153.0, 109.0, 179.0, 205.0]",['lamp']
26979.jpg,"[391.0, 0.0, 480.0, 180.0]",['the window on the right']
26979.jpg,"[27.0, 41.0, 92.0, 129.0]",['picture on the left']
26979.jpg,"[187.0, 50.0, 223.0, 122.0]",['picture on wall right']
26979.jpg,"[0.0, 0.0, 387.0, 285.0]",['white wall behind beds']
26979.jpg,"[341.0, 246.0, 480.0, 360.0]",['ground infront of beds']
26979.jpg,"[14.0, 199.0, 387.0, 360.0]",['middle bed']
26979.jpg,"[199.0, 166.0, 460.0, 281.0]",['rightmost bed']
9881.jpg,"[267.0, 142.0, 293.0, 182.0]",['the head of the tan horse in middle just walking onto bankment']
9881.jpg,"[232.0, 164.0, 268.0, 197.0]","['horse in middle with boy', 'little brown horse in middle', 'middle horse just on land', 'horse walkig out of the water', 'the horse that just coming out the water', 'back of horse getting out of water']"
9881.jpg,"[22.0, 213.0, 65.0, 299.0]","['horse on far left', 'horse on left']"
9881.jpg,"[266.0, 161.0, 416.0, 210.0]",['ground between lead rider and second rider']
9881.jpg,"[164.0, 169.0, 223.0, 212.0]",['the horse without a rider']
9881.jpg,"[54.0, 202.0, 111.0, 235.0]",['second horse from the left']
9881.jpg,"[0.0, 0.0, 480.0, 360.0]",['any of the trees']
9881.jpg,"[0.0, 331.0, 246.0, 360.0]",['tiny piece of land bottom left corner']
9881.jpg,"[0.0, 175.0, 480.0, 360.0]",['water']
19633.jpg,"[23.0, 0.0, 263.0, 145.0]",['sky above pond! goooo']
19633.jpg,"[88.0, 225.0, 283.0, 274.0]","['big water', 'lake', 'water center', 'lake water', 'water center', 'pond', 'water']"
19633.jpg,"[0.0, 84.0, 121.0, 196.0]",['hill on left']
18804.jpg,"[0.0, 180.0, 480.0, 225.0]",['mountains in the back']
18804.jpg,"[221.0, 123.0, 369.0, 360.0]",['guy']
18804.jpg,"[0.0, 220.0, 480.0, 360.0]",['water']
18804.jpg,"[0.0, 0.0, 480.0, 213.0]",['the sky']
38090.jpg,"[33.0, 344.0, 480.0, 360.0]",['water']
25675.jpg,"[0.0, 0.0, 102.0, 386.0]",['white building on left']
25675.jpg,"[0.0, 335.0, 360.0, 480.0]",['bottom middle']
25675.jpg,"[263.0, 0.0, 360.0, 394.0]","['right building', 'building on right']"
25675.jpg,"[106.0, 0.0, 295.0, 65.0]",['any sky']
19278.jpg,"[0.0, 162.0, 131.0, 357.0]",['lighter floor on the left']
22458.jpg,"[0.0, 97.0, 480.0, 360.0]",['people']
22458.jpg,"[223.0, 212.0, 251.0, 245.0]",['whatever dark thing the blond woman in middle is holding']
22458.jpg,"[90.0, 186.0, 124.0, 222.0]",['2nd from left camera only']
22458.jpg,"[82.0, 0.0, 480.0, 100.0]",['upper right corner']
22458.jpg,"[208.0, 199.0, 234.0, 221.0]",['the camera around the neck of the man in the red-orange vest on the left with the beanie']
22458.jpg,"[305.0, 31.0, 347.0, 53.0]",['top building. wondows to the left of door']
22458.jpg,"[382.0, 14.0, 409.0, 69.0]",['door up high on right']
22458.jpg,"[211.0, 39.0, 241.0, 63.0]",['top window on left']
22458.jpg,"[254.0, 38.0, 290.0, 58.0]",['middle window behind guy on balcony']
30321.jpg,"[0.0, 0.0, 334.0, 118.0]",['sky']
30321.jpg,"[0.0, 0.0, 480.0, 187.0]",['upper part']
14242.jpg,"[216.0, 295.0, 292.0, 468.0]",['first person']
14242.jpg,"[0.0, 0.0, 360.0, 228.0]",['the top of the picture']
14242.jpg,"[0.0, 81.0, 360.0, 383.0]","['in building', 'ruins']"
4888.jpg,"[73.0, 176.0, 248.0, 245.0]",['blue roof near middle']
4888.jpg,"[0.0, 159.0, 104.0, 255.0]","['hut on left', 'house, far left']"
4888.jpg,"[15.0, 253.0, 91.0, 328.0]",['little tree beneath the clothes on the left']
4888.jpg,"[188.0, 308.0, 231.0, 345.0]","['bush left of red thing, tiny', 'small area of green on foreground to the left of the red, right where it meets the road', 'bush to left of red towel on line little bush']"
4888.jpg,"[5.0, 222.0, 267.0, 360.0]",['clothers hanging on line?']
4888.jpg,"[183.0, 113.0, 314.0, 197.0]",['sign']
4888.jpg,"[80.0, 0.0, 404.0, 335.0]",['tree trunk right below the sign']
4888.jpg,"[261.0, 72.0, 480.0, 360.0]","['greenery, right']"
4888.jpg,"[0.0, 319.0, 236.0, 360.0]",['bottom left corner']
32707.jpg,"[0.0, 0.0, 258.0, 296.0]",['sky at top middle']
32707.jpg,"[265.0, 0.0, 320.0, 328.0]",['building far right']
32707.jpg,"[0.0, 20.0, 148.0, 364.0]",['left building']
32482.jpg,"[0.0, 134.0, 480.0, 270.0]",['dead middle']
13652.jpg,"[57.0, 372.0, 360.0, 480.0]",['bottom right corner']
32482.jpg,"[0.0, 226.0, 385.0, 331.0]",['tan bike path behind rider']
