bbox,img_id,query
"[0.0, 0.0, 360.0, 480.0]",23412.jpg,anywhere except the people
"[162.0, 192.0, 220.0, 430.0]",23412.jpg,person in front
"[203.0, 71.0, 247.0, 161.0]",23412.jpg,person all the way in back
"[181.0, 158.0, 248.0, 319.0]",23412.jpg,blue shirt
"[3.0, 0.0, 480.0, 91.0]",38040.jpg,sky
"[1.0, 284.0, 46.0, 343.0]",19041.jpg,grass to the left of wagon
"[257.0, 225.0, 480.0, 360.0]",38040.jpg,grass right
"[0.0, 236.0, 166.0, 330.0]",38040.jpg,wow grass left
"[0.0, 0.0, 480.0, 196.0]",38040.jpg,trees in the background
"[0.0, 298.0, 199.0, 360.0]",38040.jpg,sidewalk bottom
"[258.0, 243.0, 362.0, 311.0]",38040.jpg,sexy pavement right of sexy heart
"[0.0, 128.0, 360.0, 480.0]",18353.jpg,base of tree near ground
"[0.0, 128.0, 360.0, 480.0]",18353.jpg,bottom left corner
"[0.0, 0.0, 480.0, 85.0]",26142.jpg,sky
"[269.0, 109.0, 406.0, 300.0]",22678.jpg,lady in red and hat
"[0.0, 28.0, 441.0, 190.0]",31670.jpg,second blue windows from left
"[0.0, 0.0, 480.0, 360.0]",5175.jpg,ice
"[125.0, 91.0, 391.0, 297.0]",5175.jpg,center outline thing
"[0.0, 14.0, 480.0, 173.0]",27385.jpg,top wall just click
"[278.0, 184.0, 320.0, 284.0]",39343.jpg,trees to right of man (near his rear)
"[278.0, 184.0, 320.0, 284.0]",39343.jpg,smaller tree on right
"[278.0, 184.0, 320.0, 284.0]",39343.jpg,small tree out of frame right
"[99.0, 151.0, 226.0, 273.0]",22678.jpg,woman on left
"[303.0, 262.0, 360.0, 405.0]",8564.jpg,the ledge on the right of the people
"[0.0, 68.0, 104.0, 163.0]",37519.jpg,white rocks to the left of his arm
"[265.0, 174.0, 320.0, 313.0]",37519.jpg,the dirt on the right side of the biker's thigh
"[265.0, 174.0, 320.0, 313.0]",37519.jpg,"the area beside the bike to the right, by his butt"
"[100.0, 27.0, 266.0, 324.0]",37519.jpg,man
"[125.0, 180.0, 264.0, 464.0]",37519.jpg,bike
"[0.0, 190.0, 320.0, 480.0]",37519.jpg,lower left
"[204.0, 35.0, 480.0, 142.0]",25266.jpg,mountains right
"[42.0, 150.0, 281.0, 326.0]",25266.jpg,any perosn
"[0.0, 313.0, 480.0, 360.0]",25266.jpg,pavement below feet
"[0.0, 0.0, 480.0, 102.0]",25266.jpg,sky
"[71.0, 50.0, 480.0, 232.0]",17791.jpg,the water
"[0.0, 121.0, 85.0, 241.0]",9406.jpg,the building or trees on the far far left
"[120.0, 117.0, 452.0, 235.0]",9406.jpg,building in center
"[0.0, 0.0, 480.0, 127.0]",9406.jpg,sky
"[403.0, 95.0, 480.0, 239.0]",9406.jpg,tree on right side
"[174.0, 312.0, 300.0, 360.0]",9406.jpg,the yellow car in front
"[174.0, 312.0, 300.0, 360.0]",9406.jpg,yellow car
"[38.0, 65.0, 182.0, 263.0]",9406.jpg,big palm tree left
"[287.0, 85.0, 396.0, 257.0]",9406.jpg,palm tree right center
"[203.0, 292.0, 351.0, 341.0]",9406.jpg,car behind yellow one
"[234.0, 267.0, 380.0, 313.0]",9406.jpg,beige jeep parked
"[58.0, 310.0, 480.0, 360.0]",14084.jpg,bottom right corner
"[429.0, 216.0, 480.0, 266.0]",8522.jpg,woman's hat on right looking at camera
"[339.0, 8.0, 376.0, 33.0]",8522.jpg,mans hat top right
"[339.0, 8.0, 376.0, 33.0]",8522.jpg,"man with black jacket khaki paints, its his hat"
"[5.0, 152.0, 42.0, 186.0]",8522.jpg,hat on the man to the left
"[0.0, 0.0, 480.0, 231.0]",8522.jpg,rock top middle
"[81.0, 4.0, 155.0, 83.0]",8522.jpg,on the left
"[0.0, 161.0, 345.0, 360.0]",8522.jpg,the rocks below the left most person
"[306.0, 132.0, 439.0, 297.0]",8522.jpg,rocks on ground in between three people on the right
"[0.0, 27.0, 480.0, 360.0]",8522.jpg,people
"[170.0, 92.0, 239.0, 123.0]",19671.jpg,space to right of left birdie head
"[253.0, 81.0, 381.0, 288.0]",19671.jpg,bird on the right
"[0.0, 0.0, 480.0, 360.0]",19671.jpg,anywhere but the ducks
"[0.0, 0.0, 480.0, 360.0]",19671.jpg,lower right corner
"[103.0, 89.0, 216.0, 296.0]",19671.jpg,left bird
"[103.0, 89.0, 216.0, 296.0]",19671.jpg,left bird
"[103.0, 89.0, 216.0, 296.0]",19671.jpg,left bird
"[103.0, 89.0, 216.0, 296.0]",19671.jpg,the bird on the left
"[103.0, 89.0, 216.0, 296.0]",19671.jpg,left animal
"[191.0, 61.0, 439.0, 213.0]",38019.jpg,sign
"[112.0, 155.0, 245.0, 404.0]",35895.jpg,statue
"[0.0, 0.0, 360.0, 431.0]",35895.jpg,the sky
"[153.0, 109.0, 179.0, 205.0]",26979.jpg,lamp
"[391.0, 0.0, 480.0, 180.0]",26979.jpg,the window on the right
"[27.0, 41.0, 92.0, 129.0]",26979.jpg,picture on the left
"[187.0, 50.0, 223.0, 122.0]",26979.jpg,picture on wall right
"[0.0, 0.0, 387.0, 285.0]",26979.jpg,white wall behind beds
"[341.0, 246.0, 480.0, 360.0]",26979.jpg,ground infront of beds
"[14.0, 199.0, 387.0, 360.0]",26979.jpg,middle bed
"[199.0, 166.0, 460.0, 281.0]",26979.jpg,rightmost bed
"[267.0, 142.0, 293.0, 182.0]",9881.jpg,the head of the tan horse in middle just walking onto bankment
"[232.0, 164.0, 268.0, 197.0]",9881.jpg,horse in middle with boy
"[232.0, 164.0, 268.0, 197.0]",9881.jpg,little brown horse in middle
"[232.0, 164.0, 268.0, 197.0]",9881.jpg,middle horse just on land
"[232.0, 164.0, 268.0, 197.0]",9881.jpg,horse walkig out of the water
"[232.0, 164.0, 268.0, 197.0]",9881.jpg,the horse that just coming out the water
"[232.0, 164.0, 268.0, 197.0]",9881.jpg,back of horse getting out of water
"[22.0, 213.0, 65.0, 299.0]",9881.jpg,horse on far left
"[22.0, 213.0, 65.0, 299.0]",9881.jpg,horse on left
"[266.0, 161.0, 416.0, 210.0]",9881.jpg,ground between lead rider and second rider
"[164.0, 169.0, 223.0, 212.0]",9881.jpg,the horse without a rider
"[54.0, 202.0, 111.0, 235.0]",9881.jpg,second horse from the left
"[0.0, 0.0, 480.0, 360.0]",9881.jpg,any of the trees
"[0.0, 331.0, 246.0, 360.0]",9881.jpg,tiny piece of land bottom left corner
"[0.0, 175.0, 480.0, 360.0]",9881.jpg,water
"[23.0, 0.0, 263.0, 145.0]",19633.jpg,sky above pond! goooo
"[88.0, 225.0, 283.0, 274.0]",19633.jpg,big water
"[88.0, 225.0, 283.0, 274.0]",19633.jpg,lake
"[88.0, 225.0, 283.0, 274.0]",19633.jpg,water center
"[88.0, 225.0, 283.0, 274.0]",19633.jpg,lake water
"[88.0, 225.0, 283.0, 274.0]",19633.jpg,water center
"[88.0, 225.0, 283.0, 274.0]",19633.jpg,pond
"[88.0, 225.0, 283.0, 274.0]",19633.jpg,water
"[0.0, 84.0, 121.0, 196.0]",19633.jpg,hill on left
"[0.0, 180.0, 480.0, 225.0]",18804.jpg,mountains in the back
"[221.0, 123.0, 369.0, 360.0]",18804.jpg,guy
"[0.0, 220.0, 480.0, 360.0]",18804.jpg,water
"[0.0, 0.0, 480.0, 213.0]",18804.jpg,the sky
"[33.0, 344.0, 480.0, 360.0]",38090.jpg,water
"[0.0, 0.0, 102.0, 386.0]",25675.jpg,white building on left
"[0.0, 335.0, 360.0, 480.0]",25675.jpg,bottom middle
"[263.0, 0.0, 360.0, 394.0]",25675.jpg,right building
"[263.0, 0.0, 360.0, 394.0]",25675.jpg,building on right
"[106.0, 0.0, 295.0, 65.0]",25675.jpg,any sky
"[0.0, 162.0, 131.0, 357.0]",19278.jpg,lighter floor on the left
"[0.0, 97.0, 480.0, 360.0]",22458.jpg,people
"[223.0, 212.0, 251.0, 245.0]",22458.jpg,whatever dark thing the blond woman in middle is holding
"[90.0, 186.0, 124.0, 222.0]",22458.jpg,2nd from left camera only
"[82.0, 0.0, 480.0, 100.0]",22458.jpg,upper right corner
"[208.0, 199.0, 234.0, 221.0]",22458.jpg,the camera around the neck of the man in the red-orange vest on the left with the beanie
"[305.0, 31.0, 347.0, 53.0]",22458.jpg,top building. wondows to the left of door
"[382.0, 14.0, 409.0, 69.0]",22458.jpg,door up high on right
"[211.0, 39.0, 241.0, 63.0]",22458.jpg,top window on left
"[254.0, 38.0, 290.0, 58.0]",22458.jpg,middle window behind guy on balcony
"[0.0, 0.0, 334.0, 118.0]",30321.jpg,sky
"[0.0, 0.0, 480.0, 187.0]",30321.jpg,upper part
"[216.0, 295.0, 292.0, 468.0]",14242.jpg,first person
"[0.0, 0.0, 360.0, 228.0]",14242.jpg,the top of the picture
"[0.0, 81.0, 360.0, 383.0]",14242.jpg,in building
"[0.0, 81.0, 360.0, 383.0]",14242.jpg,ruins
"[73.0, 176.0, 248.0, 245.0]",4888.jpg,blue roof near middle
"[0.0, 159.0, 104.0, 255.0]",4888.jpg,hut on left
"[0.0, 159.0, 104.0, 255.0]",4888.jpg,"house, far left"
"[15.0, 253.0, 91.0, 328.0]",4888.jpg,little tree beneath the clothes on the left
"[188.0, 308.0, 231.0, 345.0]",4888.jpg,"bush left of red thing, tiny"
"[188.0, 308.0, 231.0, 345.0]",4888.jpg,"small area of green on foreground to the left of the red, right where it meets the road"
"[188.0, 308.0, 231.0, 345.0]",4888.jpg,bush to left of red towel on line little bush
"[5.0, 222.0, 267.0, 360.0]",4888.jpg,clothers hanging on line?
"[183.0, 113.0, 314.0, 197.0]",4888.jpg,sign
"[80.0, 0.0, 404.0, 335.0]",4888.jpg,tree trunk right below the sign
"[261.0, 72.0, 480.0, 360.0]",4888.jpg,"greenery, right"
"[0.0, 319.0, 236.0, 360.0]",4888.jpg,bottom left corner
"[0.0, 0.0, 258.0, 296.0]",32707.jpg,sky at top middle
"[265.0, 0.0, 320.0, 328.0]",32707.jpg,building far right
"[0.0, 20.0, 148.0, 364.0]",32707.jpg,left building
"[0.0, 134.0, 480.0, 270.0]",32482.jpg,dead middle
"[57.0, 372.0, 360.0, 480.0]",13652.jpg,bottom right corner
"[0.0, 226.0, 385.0, 331.0]",32482.jpg,tan bike path behind rider
"[264.0, 169.0, 313.0, 446.0]",14752.jpg,wall to right of door
"[104.0, 422.0, 342.0, 480.0]",14752.jpg,floor inside
"[100.0, 178.0, 139.0, 456.0]",14752.jpg,left door
"[321.0, 80.0, 360.0, 285.0]",7427.jpg,black
"[0.0, 0.0, 360.0, 336.0]",7427.jpg,bus
"[0.0, 202.0, 360.0, 480.0]",7427.jpg,bottom right
"[275.0, 18.0, 350.0, 259.0]",7427.jpg,guy in the back with white shirt
"[24.0, 71.0, 260.0, 480.0]",7427.jpg,girl
"[0.0, 293.0, 105.0, 332.0]",23354.jpg,mist left ground
"[0.0, 253.0, 480.0, 360.0]",23354.jpg,the railing
"[402.0, 155.0, 417.0, 192.0]",23354.jpg,3rd window from right
"[402.0, 155.0, 417.0, 192.0]",23354.jpg,"building on right, #1 of 3 top windows counting from left"
"[402.0, 155.0, 417.0, 192.0]",23354.jpg,"tree on far right, the left most window above it"
"[460.0, 160.0, 480.0, 198.0]",23354.jpg,2nd floor window far right
"[122.0, 183.0, 250.0, 240.0]",23354.jpg,trees below reddish building
"[122.0, 183.0, 250.0, 240.0]",23354.jpg,trees on the bottom of left building
"[122.0, 183.0, 250.0, 240.0]",23354.jpg,trees in front of off-white building near the back
"[134.0, 111.0, 381.0, 193.0]",23354.jpg,brown bldg
"[292.0, 251.0, 453.0, 284.0]",23354.jpg,area behind the 2 parked cars
"[45.0, 233.0, 307.0, 314.0]",23354.jpg,tree area on bottm-mid
"[431.0, 156.0, 448.0, 188.0]",23354.jpg,middle window top far right building
"[431.0, 156.0, 448.0, 188.0]",23354.jpg,"white building on right, middle window"
"[275.0, 0.0, 480.0, 82.0]",38075.jpg,top trees on right
"[0.0, 380.0, 360.0, 480.0]",8808.jpg,steps
"[0.0, 0.0, 480.0, 269.0]",32371.jpg,sky
"[50.0, 139.0, 426.0, 271.0]",32371.jpg,clouds under sign
"[0.0, 0.0, 248.0, 204.0]",1290.jpg,top left corner
"[392.0, 164.0, 479.0, 280.0]",1290.jpg,red thing next to bottom pillowcase
"[417.0, 0.0, 480.0, 159.0]",1290.jpg,upper right corner
"[8.0, 75.0, 441.0, 262.0]",1290.jpg,top bunk
"[263.0, 185.0, 416.0, 360.0]",1290.jpg,bottom white bed
"[103.0, 183.0, 266.0, 360.0]",1290.jpg,the wood stair
"[262.0, 59.0, 345.0, 157.0]",39444.jpg,boy face
"[0.0, 0.0, 480.0, 73.0]",31844.jpg,sky
"[98.0, 210.0, 480.0, 360.0]",31844.jpg,bottom right
"[37.0, 297.0, 58.0, 338.0]",8352.jpg,the hand of the guy on the far left with blue vest
"[45.0, 41.0, 464.0, 360.0]",8352.jpg,the people
"[375.0, 174.0, 480.0, 360.0]",8352.jpg,orange boat on the right
"[0.0, 70.0, 480.0, 262.0]",8352.jpg,water left
"[0.0, 43.0, 256.0, 92.0]",8352.jpg,left rocks
"[0.0, 252.0, 51.0, 360.0]",8352.jpg,on left
"[0.0, 0.0, 480.0, 53.0]",8352.jpg,sky
"[60.0, 36.0, 480.0, 73.0]",8352.jpg,hill grayish color
"[115.0, 173.0, 207.0, 315.0]",39634.jpg,boy sitting in white shirt
"[269.0, 316.0, 360.0, 433.0]",20723.jpg,"bush right side, near us"
"[269.0, 316.0, 360.0, 433.0]",20723.jpg,bushes on right side of road behind biker
"[0.0, 163.0, 360.0, 296.0]",20723.jpg,mountain
"[0.0, 294.0, 360.0, 480.0]",20723.jpg,road
"[0.0, 0.0, 338.0, 236.0]",27012.jpg,wall
"[330.0, 8.0, 414.0, 242.0]",27012.jpg,the curtains
"[410.0, 12.0, 480.0, 253.0]",27012.jpg,window
"[410.0, 12.0, 480.0, 253.0]",27012.jpg,sliding door on right
"[230.0, 100.0, 267.0, 126.0]",27012.jpg,light on wall
"[0.0, 103.0, 480.0, 360.0]",27012.jpg,bed
"[233.0, 199.0, 300.0, 232.0]",27012.jpg,nightstand
"[42.0, 0.0, 126.0, 103.0]",27012.jpg,picture
"[0.0, 0.0, 480.0, 220.0]",39111.jpg,jk sky
"[49.0, 148.0, 444.0, 223.0]",39111.jpg,big rock/mountain
"[102.0, 167.0, 480.0, 360.0]",31843.jpg,snow bottom right
"[255.0, 45.0, 364.0, 360.0]",719.jpg,girl with red bow and blue shirt
"[0.0, 0.0, 480.0, 139.0]",31843.jpg,top
"[0.0, 145.0, 327.0, 360.0]",31843.jpg,bottom left
"[161.0, 92.0, 201.0, 141.0]",719.jpg,face of person with book
"[129.0, 275.0, 279.0, 360.0]",4259.jpg,tan shirt
"[129.0, 275.0, 279.0, 360.0]",4259.jpg,the girls body
"[129.0, 275.0, 279.0, 360.0]",4259.jpg,the girls shirt in the middle
"[129.0, 275.0, 279.0, 360.0]",4259.jpg,tan shirt
"[129.0, 275.0, 279.0, 360.0]",4259.jpg,yellow shirt
"[129.0, 275.0, 279.0, 360.0]",4259.jpg,girls shirt in middle
"[15.0, 177.0, 189.0, 360.0]",4259.jpg,women's sweater on the left
"[330.0, 111.0, 400.0, 195.0]",4259.jpg,right face
"[178.0, 226.0, 231.0, 295.0]",4259.jpg,middle face
"[88.0, 123.0, 146.0, 193.0]",4259.jpg,"face of leftmost person, glasses"
"[88.0, 123.0, 146.0, 193.0]",4259.jpg,face of woman on left
"[272.0, 69.0, 480.0, 360.0]",4259.jpg,guy in red
"[130.0, 203.0, 279.0, 360.0]",4259.jpg,person in middle
"[20.0, 106.0, 190.0, 360.0]",4259.jpg,left woman
"[20.0, 69.0, 480.0, 360.0]",4259.jpg,3 people
"[0.0, 0.0, 480.0, 67.0]",35715.jpg,uppper sky
"[0.0, 54.0, 480.0, 96.0]",35715.jpg,back buildings
"[0.0, 73.0, 480.0, 122.0]",35715.jpg,bridge
"[0.0, 117.0, 480.0, 360.0]",35715.jpg,water
"[191.0, 0.0, 360.0, 428.0]",9384.jpg,rocks to right of water
"[0.0, 0.0, 360.0, 480.0]",9384.jpg,top left corner
"[35.0, 198.0, 233.0, 480.0]",9384.jpg,people
"[158.0, 0.0, 284.0, 409.0]",9384.jpg,white waterfall
"[127.0, 127.0, 209.0, 225.0]",14523.jpg,bird center left
"[0.0, 0.0, 480.0, 56.0]",14523.jpg,the hill
"[0.0, 126.0, 480.0, 360.0]",14523.jpg,water
"[17.0, 100.0, 409.0, 340.0]",14499.jpg,the red jacket
"[0.0, 14.0, 267.0, 95.0]",14499.jpg,left cloud
"[253.0, 276.0, 480.0, 360.0]",14499.jpg,brown rocks right most bottom
"[0.0, 0.0, 480.0, 98.0]",14499.jpg,top right blue sky
"[90.0, 2.0, 370.0, 360.0]",13029.jpg,people
"[0.0, 113.0, 404.0, 360.0]",13029.jpg,bottom left
"[350.0, 225.0, 480.0, 360.0]",13029.jpg,bottom right
"[386.0, 0.0, 453.0, 259.0]",13029.jpg,yellow wall by blue shutter
"[419.0, 50.0, 480.0, 360.0]",23371.jpg,on the right
"[0.0, 0.0, 480.0, 288.0]",1272.jpg,walls
"[234.0, 175.0, 430.0, 356.0]",1272.jpg,right bed
"[27.0, 290.0, 411.0, 360.0]",1272.jpg,floor in between beds
"[43.0, 169.0, 259.0, 336.0]",1272.jpg,left bed
"[238.0, 15.0, 314.0, 70.0]",1272.jpg,picture
"[426.0, 271.0, 480.0, 360.0]",1272.jpg,bottom right floor
"[426.0, 271.0, 480.0, 360.0]",1272.jpg,bottom piece of floor on right
"[130.0, 101.0, 167.0, 130.0]",1272.jpg,left lamp shade
"[406.0, 103.0, 468.0, 139.0]",1272.jpg,lamp on right
"[224.0, 136.0, 316.0, 195.0]",3777.jpg,people on top of waterfall
"[0.0, 175.0, 360.0, 480.0]",24402.jpg,bottom of picture
"[0.0, 167.0, 480.0, 360.0]",20013.jpg,bottom grass
"[126.0, 210.0, 175.0, 348.0]",20013.jpg,white horse
"[126.0, 210.0, 175.0, 348.0]",20013.jpg,white horse
"[77.0, 177.0, 108.0, 249.0]",8619.jpg,guy in speedo
"[147.0, 108.0, 392.0, 136.0]",20013.jpg,sky in middle without clouds
"[147.0, 108.0, 392.0, 136.0]",20013.jpg,blue sky middle
"[312.0, 200.0, 397.0, 283.0]",20013.jpg,horse on front right!with rider
"[312.0, 200.0, 397.0, 283.0]",20013.jpg,right horse
"[106.0, 167.0, 185.0, 292.0]",20013.jpg,dude on horse on left white horse dude
"[0.0, 139.0, 480.0, 360.0]",39213.jpg,cliff
"[0.0, 0.0, 480.0, 145.0]",39213.jpg,sky
"[41.0, 39.0, 412.0, 181.0]",11595.jpg,embarque
"[0.0, 230.0, 225.0, 480.0]",7927.jpg,people
"[167.0, 0.0, 360.0, 186.0]",7927.jpg,top right
"[0.0, 0.0, 360.0, 293.0]",8519.jpg,wall
"[4.0, 32.0, 360.0, 396.0]",8519.jpg,woman
"[0.0, 351.0, 360.0, 480.0]",8519.jpg,table infront of girl
"[35.0, 269.0, 113.0, 360.0]",40606.jpg,blond haired lady on bottom left
"[138.0, 319.0, 340.0, 475.0]",8519.jpg,plate
"[16.0, 65.0, 99.0, 332.0]",26438.jpg,stairs
"[0.0, 382.0, 360.0, 446.0]",4706.jpg,water. sorry
"[0.0, 0.0, 360.0, 389.0]",4706.jpg,sky
"[206.0, 314.0, 325.0, 480.0]",4706.jpg,man
"[0.0, 0.0, 235.0, 339.0]",4706.jpg,tree
"[0.0, 432.0, 360.0, 480.0]",4706.jpg,sand
"[8.0, 212.0, 107.0, 360.0]",26438.jpg,whatever is close to the camera on left bottom
"[0.0, 0.0, 186.0, 190.0]",22745.jpg,top left
"[0.0, 0.0, 360.0, 252.0]",22745.jpg,sky
"[108.0, 317.0, 282.0, 480.0]",21559.jpg,stairway
"[0.0, 207.0, 125.0, 404.0]",22745.jpg,big bushy tree
"[0.0, 137.0, 114.0, 429.0]",5044.jpg,left grass
"[0.0, 0.0, 139.0, 449.0]",21559.jpg,tree left top
"[305.0, 196.0, 360.0, 379.0]",21559.jpg,tree right bottom
"[0.0, 147.0, 364.0, 360.0]",22890.jpg,city bottom left
"[209.0, 86.0, 271.0, 161.0]",5044.jpg,rt face
"[0.0, 0.0, 480.0, 67.0]",22890.jpg,blue sky
"[0.0, 0.0, 480.0, 205.0]",39338.jpg,sky
"[0.0, 0.0, 480.0, 113.0]",20800.jpg,sky
"[266.0, 87.0, 343.0, 321.0]",19279.jpg,lady on right
"[215.0, 174.0, 480.0, 360.0]",20800.jpg,water
"[251.0, 90.0, 480.0, 174.0]",20800.jpg,hill on right
"[0.0, 18.0, 267.0, 360.0]",20800.jpg,man
"[45.0, 59.0, 190.0, 360.0]",23486.jpg,woman striped shirt front
"[0.0, 0.0, 480.0, 96.0]",23486.jpg,ceiling crawling with spiders
"[401.0, 246.0, 480.0, 360.0]",23486.jpg,bottom right white chair
"[198.0, 53.0, 267.0, 144.0]",23486.jpg,window above smiley guy
"[0.0, 18.0, 23.0, 293.0]",23486.jpg,window on far left
"[15.0, 20.0, 99.0, 360.0]",23486.jpg,left most red
"[132.0, 266.0, 443.0, 360.0]",23486.jpg,table closest to us
"[174.0, 149.0, 336.0, 242.0]",40106.jpg,seal closet to right
"[0.0, 0.0, 480.0, 150.0]",40106.jpg,top
"[88.0, 131.0, 155.0, 214.0]",40106.jpg,seal left side
"[0.0, 0.0, 480.0, 307.0]",1369.jpg,wall
"[0.0, 273.0, 360.0, 480.0]",14656.jpg,ground below man
"[407.0, 258.0, 474.0, 360.0]",1369.jpg,fridge
"[247.0, 290.0, 331.0, 360.0]",9938.jpg,seat bottom right
"[0.0, 0.0, 45.0, 52.0]",9938.jpg,"the window, top left corner"
"[0.0, 0.0, 45.0, 52.0]",9938.jpg,widow top left
"[43.0, 0.0, 480.0, 133.0]",9938.jpg,back wall
"[228.0, 15.0, 325.0, 63.0]",9938.jpg,painting of child on back wall
"[0.0, 43.0, 52.0, 216.0]",9938.jpg,blue shelf on left
"[53.0, 103.0, 150.0, 189.0]",9938.jpg,teacher desk on left by the guy
"[34.0, 291.0, 108.0, 360.0]",9938.jpg,far left chair
"[114.0, 265.0, 178.0, 351.0]",9938.jpg,chair/stool boy is sitting on
"[0.0, 176.0, 85.0, 233.0]",21857.jpg,water
"[0.0, 244.0, 360.0, 468.0]",21857.jpg,sand on both sides of girl
"[4.0, 102.0, 311.0, 480.0]",21857.jpg,face
"[0.0, 74.0, 137.0, 181.0]",21857.jpg,white cloud
"[0.0, 0.0, 360.0, 110.0]",21857.jpg,sky
"[295.0, 89.0, 360.0, 306.0]",17564.jpg,brush on mid right side
"[0.0, 120.0, 117.0, 354.0]",17564.jpg,brush far middle left
"[107.0, 21.0, 301.0, 336.0]",17564.jpg,any of the people
"[28.0, 209.0, 360.0, 480.0]",17564.jpg,bottom right corner
"[0.0, 0.0, 360.0, 114.0]",17564.jpg,sky top left
"[0.0, 0.0, 360.0, 114.0]",17564.jpg,sky
"[0.0, 0.0, 360.0, 114.0]",17564.jpg,top left
"[0.0, 0.0, 360.0, 114.0]",17564.jpg,sky
"[0.0, 0.0, 360.0, 114.0]",17564.jpg,the sky
"[0.0, 0.0, 360.0, 114.0]",17564.jpg,sky
"[167.0, 108.0, 238.0, 208.0]",25295.jpg,face
"[52.0, 103.0, 360.0, 480.0]",25295.jpg,man in blue shirt
"[0.0, 90.0, 480.0, 182.0]",38959.jpg,rock formation
"[0.0, 181.0, 100.0, 238.0]",38959.jpg,shrub on left
"[0.0, 0.0, 480.0, 113.0]",38959.jpg,sky
"[365.0, 188.0, 480.0, 263.0]",38959.jpg,adolescent tumbleweed on right
"[365.0, 188.0, 480.0, 263.0]",38959.jpg,bush on far right
"[142.0, 214.0, 174.0, 320.0]",5097.jpg,"camera, 2nd from left"
"[142.0, 214.0, 174.0, 320.0]",5097.jpg,2nd person left
"[236.0, 219.0, 280.0, 310.0]",5097.jpg,middle dude
"[316.0, 199.0, 355.0, 310.0]",5097.jpg,whatever that creature is
"[316.0, 199.0, 355.0, 310.0]",5097.jpg,2nd person from right
"[379.0, 186.0, 428.0, 297.0]",5097.jpg,that was correct... the person on the far right
"[0.0, 283.0, 480.0, 360.0]",5097.jpg,sand
"[0.0, 0.0, 480.0, 335.0]",5097.jpg,sky
"[56.0, 203.0, 102.0, 332.0]",5097.jpg,person on left
"[206.0, 273.0, 480.0, 360.0]",20262.jpg,deck
"[102.0, 166.0, 218.0, 360.0]",20262.jpg,man
"[0.0, 187.0, 113.0, 350.0]",20262.jpg,water to left of people
"[43.0, 124.0, 437.0, 286.0]",31342.jpg,trees middle
"[27.0, 0.0, 458.0, 224.0]",31342.jpg,sky
"[274.0, 95.0, 373.0, 178.0]",16678.jpg,patch of trees straight ahead
"[274.0, 95.0, 373.0, 178.0]",16678.jpg,group of trees near water
"[0.0, 0.0, 480.0, 70.0]",16678.jpg,sky
"[283.0, 85.0, 480.0, 321.0]",16678.jpg,hill on the right
"[0.0, 98.0, 299.0, 340.0]",16678.jpg,water left
"[278.0, 179.0, 330.0, 211.0]",9754.jpg,tes
"[278.0, 179.0, 330.0, 211.0]",9754.jpg,bingo board sitting on a knee
"[278.0, 179.0, 330.0, 211.0]",9754.jpg,bingo 3rd right
"[278.0, 179.0, 330.0, 211.0]",9754.jpg,bingo board 3rd from right
"[278.0, 179.0, 330.0, 211.0]",9754.jpg,third bingo board from right on grey knee
